season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
2014,1,mclaren,33.0,0,1
2014,1,mercedes,25.0,1,2
2014,1,ferrari,18.0,0,3
2014,1,williams,10.0,0,4
2014,1,force_india,9.0,0,5
2014,1,toro_rosso,6.0,0,6
2014,1,sauber,0.0,0,7
2014,1,marussia,0.0,0,8
2014,1,lotus_f1,0.0,0,9
2014,1,caterham,0.0,0,10
2014,1,red_bull,0.0,0,11
2014,2,mercedes,68.0,2,1
2014,2,mclaren,43.0,0,2
2014,2,ferrari,30.0,0,3
2014,2,williams,20.0,0,4
2014,2,force_india,19.0,0,5
2014,2,red_bull,15.0,0,6
2014,2,toro_rosso,7.0,0,7
2014,2,sauber,0.0,0,8
2014,2,lotus_f1,0.0,0,9
2014,2,caterham,0.0,0,10
2014,2,marussia,0.0,0,11
2014,3,mercedes,111.0,3,1
2014,3,force_india,44.0,0,2
2014,3,mclaren,43.0,0,3
2014,3,red_bull,35.0,0,4
2014,3,ferrari,33.0,0,5
2014,3,williams,30.0,0,6
2014,3,toro_rosso,7.0,0,7
2014,3,lotus_f1,0.0,0,8
2014,3,sauber,0.0,0,9
2014,3,marussia,0.0,0,10
2014,3,caterham,0.0,0,11
2014,4,mercedes,154.0,4,1
2014,4,red_bull,57.0,0,2
2014,4,force_india,54.0,0,3
2014,4,ferrari,52.0,0,4
2014,4,mclaren,43.0,0,5
2014,4,williams,36.0,0,6
2014,4,toro_rosso,8.0,0,7
2014,4,lotus_f1,0.0,0,8
2014,4,sauber,0.0,0,9
2014,4,marussia,0.0,0,10
2014,4,caterham,0.0,0,11
2014,5,mercedes,197.0,5,1
2014,5,red_bull,84.0,0,2
2014,5,ferrari,66.0,0,3
2014,5,force_india,57.0,0,4
2014,5,williams,46.0,0,5
2014,5,mclaren,43.0,0,6
2014,5,toro_rosso,8.0,0,7
2014,5,lotus_f1,4.0,0,8
2014,5,sauber,0.0,0,9
2014,5,marussia,0.0,0,10
2014,5,caterham,0.0,0,11
2014,6,mercedes,240.0,6,1
2014,6,red_bull,99.0,0,2
2014,6,ferrari,78.0,0,3
2014,6,force_india,67.0,0,4
2014,6,mclaren,52.0,0,5
2014,6,williams,52.0,0,6
2014,6,lotus_f1,8.0,0,7
2014,6,toro_rosso,8.0,0,8
2014,6,marussia,2.0,0,9
2014,6,sauber,0.0,0,10
2014,6,caterham,0.0,0,11
2014,7,mercedes,258.0,6,1
2014,7,red_bull,139.0,1,2
2014,7,ferrari,87.0,0,3
2014,7,force_india,77.0,0,4
2014,7,mclaren,66.0,0,5
2014,7,williams,58.0,0,6
2014,7,toro_rosso,12.0,0,7
2014,7,lotus_f1,8.0,0,8
2014,7,marussia,2.0,0,9
2014,7,sauber,0.0,0,10
2014,7,caterham,0.0,0,11
2014,8,mercedes,301.0,7,1
2014,8,red_bull,143.0,1,2
2014,8,ferrari,98.0,0,3
2014,8,force_india,87.0,0,4
2014,8,williams,85.0,0,5
2014,8,mclaren,72.0,0,6
2014,8,toro_rosso,12.0,0,7
2014,8,lotus_f1,8.0,0,8
2014,8,marussia,2.0,0,9
2014,8,sauber,0.0,0,10
2014,8,caterham,0.0,0,11
2014,9,mercedes,326.0,8,1
2014,9,red_bull,168.0,1,2
2014,9,ferrari,106.0,0,3
2014,9,williams,103.0,0,4
2014,9,force_india,91.0,0,5
2014,9,mclaren,90.0,0,6
2014,9,toro_rosso,15.0,0,7
2014,9,lotus_f1,8.0,0,8
2014,9,marussia,2.0,0,9
2014,9,sauber,0.0,0,10
2014,9,caterham,0.0,0,11
2014,10,mercedes,366.0,9,1
2014,10,red_bull,188.0,1,2
2014,10,williams,121.0,0,3
2014,10,ferrari,116.0,0,4
2014,10,force_india,98.0,0,5
2014,10,mclaren,96.0,0,6
2014,10,toro_rosso,15.0,0,7
2014,10,lotus_f1,8.0,0,8
2014,10,marussia,2.0,0,9
2014,10,sauber,0.0,0,10
2014,10,caterham,0.0,0,11
2014,11,mercedes,393.0,9,1
2014,11,red_bull,219.0,2,2
2014,11,ferrari,142.0,0,3
2014,11,williams,135.0,0,4
2014,11,force_india,98.0,0,5
2014,11,mclaren,97.0,0,6
2014,11,toro_rosso,17.0,0,7
2014,11,lotus_f1,8.0,0,8
2014,11,marussia,2.0,0,9
2014,11,sauber,0.0,0,10
2014,11,caterham,0.0,0,11
2014,12,mercedes,411.0,9,1
2014,12,red_bull,254.0,3,2
2014,12,ferrari,160.0,0,3
2014,12,williams,150.0,0,4
2014,12,mclaren,105.0,0,5
2014,12,force_india,103.0,0,6
2014,12,toro_rosso,19.0,0,7
2014,12,lotus_f1,8.0,0,8
2014,12,marussia,2.0,0,9
2014,12,sauber,0.0,0,10
